Country,Year,Attack Type,Target Industry,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Financial Loss (in Million $),Incident Resolution Time (in Ho,Number of Affected Users,Region,Incident Cost Per User ($),Attack Velocity (Per Hour),Financial Loss Score,Resolution Speed Score,User Impact Score,Overal Severity Score,Attack Complexity Score,Vulnerability Complexity Score,Overall Complexity Score,Geopolitical Risk Score
Brazil,2016,Malware,Healthcare,Unknown,Unpatched Software,Antivirus,42.06,9,98974,South America,424.96,10997,1,1,1,1,2,2,2,3
Germany,2018,SQL Injection,Retail,Unknown,Zero-day,AI-based Detection,9.36,9,52082,Western Europe,179.72,5787,1,1,1,1,3,3,3,2
Russia,2022,Phishing,Telecommunications,Unknown,Zero-day,Encryption,20.97,9,181285,Eastern Europe,115.67,20143,1,1,1,1,1,3,2,5
Australia,2021,SQL Injection,IT,Unknown,Zero-day,AI-based Detection,19.79,9,112598,Oceania,175.76,12511,1,1,1,1,3,3,3,1
France,2023,Malware,Banking,Unknown,Zero-day,Firewall,55.17,9,239155,Western Europe,230.69,26573,1,1,2,1,2,3,3,2
Russia,2017,Malware,Healthcare,Nation-state,Social Engineering,Firewall,173.64,9,271231,Eastern Europe,640.19,30137,2,1,2,2,2,1,2,5
Brazil,2024,Man-in-the-Middle,Healthcare,Unknown,Weak Passwords,AI-based Detection,34.4,9,152513,South America,225.55,16946,1,1,1,1,3,1,2,3
Brazil,2020,SQL Injection,Education,Insider,Unpatched Software,Encryption,15.13,9,55686,South America,271.7,6187,1,1,1,1,3,2,3,3
Japan,2023,SQL Injection,Government,Unknown,Zero-day,VPN,18.25,9,108979,East Asia,167.46,12109,1,1,1,1,3,3,3,2
France,2020,SQL Injection,Retail,Nation-state,Unpatched Software,Antivirus,42.48,9,88498,Western Europe,480.01,9833,1,1,1,1,3,2,3,2
France,2021,SQL Injection,Government,Hacker Group,Social Engineering,AI-based Detection,53.92,9,101914,Western Europe,529.07,11324,1,1,1,1,3,1,2,2
Russia,2020,SQL Injection,Government,Unknown,Zero-day,Encryption,20.13,9,77740,Eastern Europe,258.94,8638,1,1,1,1,3,3,3,5
Brazil,2015,Man-in-the-Middle,Banking,Unknown,Unpatched Software,Encryption,30.67,9,37236,South America,823.67,4137,1,1,1,1,3,2,3,3
China,2023,Man-in-the-Middle,Education,Unknown,Social Engineering,Antivirus,14.96,9,205504,East Asia,72.8,22834,1,1,1,1,3,1,2,4
Russia,2024,SQL Injection,Government,Unknown,Zero-day,AI-based Detection,31.08,10,151637,Eastern Europe,204.96,15164,1,1,1,1,3,3,3,5
Japan,2018,SQL Injection,IT,Insider,Unpatched Software,AI-based Detection,11.45,10,77630,East Asia,147.49,7763,1,1,1,1,3,2,3,2
UK,2016,SQL Injection,IT,Unknown,Unpatched Software,Antivirus,25.51,10,79192,Northern Europe,322.13,7919,1,1,1,1,3,2,3,2
Germany,2023,SQL Injection,Healthcare,Hacker Group,Weak Passwords,AI-based Detection,83.79,10,215422,Western Europe,388.96,21542,1,1,1,1,3,1,2,2
Germany,2018,SQL Injection,Telecommunications,Insider,Zero-day,VPN,32.18,10,81631,Western Europe,394.21,8163,1,1,1,1,3,3,3,2
Japan,2018,Phishing,Healthcare,Insider,Weak Passwords,Firewall,95.36,10,196187,East Asia,486.07,19619,1,1,1,1,1,1,1,2
UK,2024,Phishing,Retail,Unknown,Weak Passwords,AI-based Detection,25.45,10,294966,Northern Europe,86.28,29497,1,1,2,1,1,1,1,2
Russia,2019,Phishing,Healthcare,Unknown,Zero-day,Antivirus,38.99,10,158494,Eastern Europe,246,15849,1,1,1,1,1,3,2,5
Germany,2021,SQL Injection,Banking,Insider,Social Engineering,AI-based Detection,27.38,10,145512,Western Europe,188.16,14551,1,1,1,1,3,1,2,2
India,2015,Phishing,Retail,Unknown,Zero-day,Encryption,21.7,10,92788,South Asia,233.87,9279,1,1,1,1,1,3,2,4
Japan,2018,Man-in-the-Middle,Telecommunications,Insider,Unpatched Software,Encryption,15.91,10,62224,East Asia,255.69,6222,1,1,1,1,3,2,3,2
Brazil,2023,SQL Injection,Healthcare,Insider,Unpatched Software,Antivirus,74.61,10,162582,South America,458.91,16258,1,1,1,1,3,2,3,3
Russia,2022,SQL Injection,Retail,Insider,Unpatched Software,VPN,15.44,10,116231,Eastern Europe,132.84,11623,1,1,1,1,3,2,3,5
UK,2020,SQL Injection,Banking,Unknown,Zero-day,Firewall,29.54,10,137885,Northern Europe,214.24,13789,1,1,1,1,3,3,3,2
France,2022,Phishing,IT,Insider,Weak Passwords,Encryption,35.99,10,261396,Western Europe,137.68,26140,1,1,2,1,1,1,1,2
Japan,2021,SQL Injection,Retail,Unknown,Social Engineering,Antivirus,12.31,10,86798,East Asia,141.82,8680,1,1,1,1,3,1,2,2
Japan,2015,SQL Injection,Banking,Unknown,Zero-day,AI-based Detection,46.94,10,54669,East Asia,858.62,5467,1,1,1,1,3,3,3,2
UK,2018,Man-in-the-Middle,Retail,Hacker Group,Zero-day,Firewall,26.27,10,80474,Northern Europe,326.44,8047,1,1,1,1,3,3,3,2
France,2017,SQL Injection,Healthcare,Insider,Weak Passwords,Antivirus,72.89,10,86340,Western Europe,844.22,8634,1,1,1,1,3,1,2,2
Brazil,2022,Man-in-the-Middle,Banking,Insider,Weak Passwords,AI-based Detection,32.31,10,133160,South America,242.64,13316,1,1,1,1,3,1,2,3
France,2024,SQL Injection,Telecommunications,Hacker Group,Unpatched Software,Encryption,27.68,10,140682,Western Europe,196.76,14068,1,1,1,1,3,2,3,2
India,2021,SQL Injection,Retail,Insider,Weak Passwords,Antivirus,16.12,10,120381,South Asia,133.91,12038,1,1,1,1,3,1,2,4
Russia,2016,Phishing,Government,Insider,Zero-day,Antivirus,39.49,10,82010,Eastern Europe,481.53,8201,1,1,1,1,1,3,2,5
Brazil,2015,SQL Injection,Banking,Unknown,Zero-day,VPN,34.54,11,35570,South America,971.04,3234,1,1,1,1,3,3,3,3
Germany,2022,Man-in-the-Middle,Telecommunications,Insider,Social Engineering,Encryption,34.16,11,181259,Western Europe,188.46,16478,1,1,1,1,3,1,2,2
Germany,2021,Malware,Government,Unknown,Zero-day,Encryption,50.36,11,200942,Western Europe,250.62,18267,1,1,1,1,2,3,3,2
India,2017,Man-in-the-Middle,Telecommunications,Insider,Weak Passwords,Firewall,78.81,11,125241,South Asia,629.27,11386,1,1,1,1,3,1,2,4
India,2024,Phishing,Retail,Insider,Unpatched Software,Antivirus,29.44,11,270807,South Asia,108.71,24619,1,1,2,1,1,2,2,4
Brazil,2017,Phishing,Government,Unknown,Weak Passwords,Encryption,35.61,11,88880,South America,400.65,8080,1,1,1,1,1,1,1,3
China,2021,SQL Injection,IT,Nation-state,Weak Passwords,VPN,52.97,11,262793,East Asia,201.57,23890,1,1,2,1,3,1,2,4
Japan,2022,SQL Injection,IT,Unknown,Social Engineering,AI-based Detection,30.58,11,145920,East Asia,209.57,13265,1,1,1,1,3,1,2,2
France,2017,Man-in-the-Middle,Healthcare,Insider,Social Engineering,VPN,47.88,11,89672,Western Europe,533.95,8152,1,1,1,1,3,1,2,2
Germany,2017,SQL Injection,IT,Nation-state,Unpatched Software,Antivirus,13.59,11,80194,Western Europe,169.46,7290,1,1,1,1,3,2,3,2
Brazil,2024,SQL Injection,Education,Insider,Weak Passwords,AI-based Detection,16.26,11,111826,South America,145.4,10166,1,1,1,1,3,1,2,3
Germany,2021,SQL Injection,Education,Hacker Group,Weak Passwords,Antivirus,22.76,11,104254,Western Europe,218.31,9478,1,1,1,1,3,1,2,2
Brazil,2019,SQL Injection,Education,Unknown,Unpatched Software,Firewall,17.19,11,45322,South America,379.29,4120,1,1,1,1,3,2,3,3
India,2016,SQL Injection,Healthcare,Unknown,Social Engineering,Antivirus,24.61,11,67090,South Asia,366.82,6099,1,1,1,1,3,1,2,4
USA,2019,SQL Injection,IT,Unknown,Weak Passwords,Encryption,35.71,11,183301,Northern America,194.82,16664,1,1,1,1,3,1,2,3
USA,2022,SQL Injection,Government,Hacker Group,Weak Passwords,Antivirus,46.37,11,193822,Northern America,239.24,17620,1,1,1,1,3,1,2,3
France,2018,SQL Injection,Government,Unknown,Social Engineering,Firewall,12.79,11,34212,Western Europe,373.85,3110,1,1,1,1,3,1,2,2
Germany,2017,Man-in-the-Middle,Banking,Unknown,Weak Passwords,AI-based Detection,34.52,11,110746,Western Europe,311.7,10068,1,1,1,1,3,1,2,2
Brazil,2017,SQL Injection,Government,Insider,Weak Passwords,Encryption,30.87,11,28162,South America,1096.16,2560,1,1,1,1,3,1,2,3
UK,2019,SQL Injection,Telecommunications,Unknown,Unpatched Software,Encryption,30.07,11,104174,Northern Europe,288.65,9470,1,1,1,1,3,2,3,2
India,2018,SQL Injection,Government,Unknown,Zero-day,Firewall,19.19,11,65971,South Asia,290.89,5997,1,1,1,1,3,3,3,4
Japan,2017,SQL Injection,Government,Insider,Zero-day,Encryption,29.99,11,38508,East Asia,778.8,3501,1,1,1,1,3,3,3,2
India,2020,Man-in-the-Middle,Banking,Insider,Unpatched Software,VPN,80.48,11,195226,South Asia,412.24,17748,1,1,1,1,3,2,3,4
Brazil,2021,SQL Injection,IT,Unknown,Weak Passwords,Encryption,17.83,11,113364,South America,157.28,10306,1,1,1,1,3,1,2,3
UK,2024,Man-in-the-Middle,IT,Insider,Zero-day,Firewall,51.12,11,238317,Northern Europe,214.5,21665,1,1,2,1,3,3,3,2
India,2017,Phishing,Retail,Unknown,Unpatched Software,Encryption,16.95,12,127770,South Asia,132.66,10648,1,1,1,1,1,2,2,4
Russia,2015,Malware,Healthcare,Unknown,Social Engineering,Firewall,58.65,12,123716,Eastern Europe,474.07,10310,1,1,1,1,2,1,2,5
India,2022,SQL Injection,Healthcare,Unknown,Unpatched Software,VPN,14.94,12,156375,South Asia,95.54,13031,1,1,1,1,3,2,3,4
Japan,2018,SQL Injection,Education,Nation-state,Zero-day,VPN,17.32,12,43270,East Asia,400.28,3606,1,1,1,1,3,3,3,2
India,2022,SQL Injection,Telecommunications,Insider,Weak Passwords,AI-based Detection,50.91,12,177065,South Asia,287.52,14755,1,1,1,1,3,1,2,4
USA,2016,Phishing,IT,Nation-state,Weak Passwords,Antivirus,122.62,12,351360,Northern America,348.99,29280,1,1,2,1,1,1,1,3
India,2020,Phishing,Healthcare,Insider,Weak Passwords,Firewall,81.81,12,270847,South Asia,302.05,22571,1,1,2,1,1,1,1,4
USA,2017,SQL Injection,Healthcare,Hacker Group,Zero-day,VPN,63.72,12,151507,Northern America,420.57,12626,1,1,1,1,3,3,3,3
Australia,2021,Malware,Telecommunications,Unknown,Social Engineering,Encryption,69.64,12,196163,Oceania,355.01,16347,1,1,1,1,2,1,2,1
USA,2021,Phishing,Banking,Unknown,Zero-day,Antivirus,69.83,12,391299,Northern America,178.46,32608,1,1,2,1,1,3,2,3
Germany,2024,Man-in-the-Middle,IT,Unknown,Weak Passwords,VPN,25.66,12,245981,Western Europe,104.32,20498,1,1,2,1,3,1,2,2
Japan,2016,SQL Injection,Telecommunications,Unknown,Unpatched Software,Antivirus,24.58,12,37815,East Asia,650.01,3151,1,1,1,1,3,2,3,2
USA,2024,Phishing,Government,Hacker Group,Social Engineering,Firewall,53.86,12,385812,Northern America,139.6,32151,1,1,2,1,1,1,1,3
Brazil,2019,SQL Injection,Education,Unknown,Zero-day,Encryption,16.02,12,45308,South America,353.58,3776,1,1,1,1,3,3,3,3
Brazil,2023,SQL Injection,Healthcare,Hacker Group,Social Engineering,Encryption,57.98,12,152748,South America,379.58,12729,1,1,1,1,3,1,2,3
China,2021,SQL Injection,Healthcare,Insider,Social Engineering,VPN,62.71,12,249752,East Asia,251.09,20813,1,1,2,1,3,1,2,4
Germany,2024,Phishing,Government,Insider,Unpatched Software,Antivirus,64.74,12,280803,Western Europe,230.55,23400,1,1,2,1,1,2,2,2
Brazil,2016,SQL Injection,Retail,Unknown,Zero-day,Encryption,13.74,12,11504,South America,1194.37,959,1,1,1,1,3,3,3,3
India,2021,SQL Injection,IT,Unknown,Zero-day,Firewall,29.84,12,172622,South Asia,172.86,14385,1,1,1,1,3,3,3,4
France,2017,Man-in-the-Middle,Education,Hacker Group,Unpatched Software,Firewall,26.96,12,44432,Western Europe,606.77,3703,1,1,1,1,3,2,3,2
India,2019,Phishing,IT,Unknown,Social Engineering,Firewall,53.8,12,247666,South Asia,217.23,20639,1,1,2,1,1,1,1,4
Japan,2022,Phishing,Healthcare,Unknown,Zero-day,Encryption,55.86,12,230200,East Asia,242.66,19183,1,1,2,1,1,3,2,2
Australia,2024,Malware,Retail,Nation-state,Social Engineering,Firewall,95.51,12,257223,Oceania,371.31,21435,1,1,2,1,2,1,2,1
France,2015,SQL Injection,Government,Insider,Zero-day,AI-based Detection,39.88,12,13965,Western Europe,2855.71,1164,1,1,1,1,3,3,3,2
China,2020,Man-in-the-Middle,Education,Unknown,Unpatched Software,Encryption,31.59,12,163708,East Asia,192.97,13642,1,1,1,1,3,2,3,4
UK,2016,Phishing,Retail,Unknown,Unpatched Software,Antivirus,20.24,12,120876,Northern Europe,167.44,10073,1,1,1,1,1,2,2,2
India,2021,Phishing,Retail,Unknown,Unpatched Software,VPN,22.44,12,209586,South Asia,107.07,17466,1,1,1,1,1,2,2,4
India,2020,Phishing,Government,Unknown,Zero-day,Firewall,27.22,12,184185,South Asia,147.79,15349,1,1,1,1,1,3,2,4
Germany,2018,Man-in-the-Middle,IT,Unknown,Unpatched Software,Encryption,35.4,13,143356,Western Europe,246.94,11027,1,1,1,1,3,2,3,2
Russia,2015,Malware,IT,Unknown,Zero-day,VPN,37.68,13,126797,Eastern Europe,297.17,9754,1,1,1,1,2,3,3,5
Brazil,2015,SQL Injection,IT,Unknown,Zero-day,Firewall,25.79,13,39204,South America,657.84,3016,1,1,1,1,3,3,3,3
India,2020,Man-in-the-Middle,Telecommunications,Unknown,Unpatched Software,VPN,37.19,13,140604,South Asia,264.5,10816,1,1,1,1,3,2,3,4
France,2018,SQL Injection,IT,Unknown,Zero-day,Encryption,20.49,13,81262,Western Europe,252.15,6251,1,1,1,1,3,3,3,2
India,2020,Man-in-the-Middle,Education,Insider,Zero-day,Encryption,26.14,13,112001,South Asia,233.39,8615,1,1,1,1,3,3,3,4
France,2018,SQL Injection,Government,Unknown,Weak Passwords,Firewall,23.92,13,43388,Western Europe,551.3,3338,1,1,1,1,3,1,2,2
Japan,2015,Malware,Healthcare,Unknown,Zero-day,Encryption,69.19,13,122478,East Asia,564.92,9421,1,1,1,1,2,3,3,2
Germany,2024,Phishing,Government,Nation-state,Social Engineering,VPN,64.47,13,281355,Western Europe,229.14,21643,1,1,2,1,1,1,1,2
Germany,2021,SQL Injection,Retail,Unknown,Zero-day,VPN,15.94,13,109975,Western Europe,144.94,8460,1,1,1,1,3,3,3,2
China,2021,Phishing,Education,Unknown,Zero-day,Firewall,29.13,13,243250,East Asia,119.75,18712,1,1,2,1,1,3,2,4
Germany,2024,Man-in-the-Middle,Government,Insider,Weak Passwords,Antivirus,72.12,13,236284,Western Europe,305.23,18176,1,1,2,1,3,1,2,2
Russia,2020,SQL Injection,Telecommunications,Insider,Zero-day,AI-based Detection,41.12,13,118337,Eastern Europe,347.48,9103,1,1,1,1,3,3,3,5
Russia,2021,SQL Injection,Telecommunications,Insider,Unpatched Software,VPN,33.19,13,127840,Eastern Europe,259.62,9834,1,1,1,1,3,2,3,5
UK,2020,SQL Injection,Healthcare,Unknown,Social Engineering,Antivirus,24.39,13,126919,Northern Europe,192.17,9763,1,1,1,1,3,1,2,2
Russia,2020,SQL Injection,Telecommunications,Unknown,Weak Passwords,Firewall,27.82,13,107240,Eastern Europe,259.42,8249,1,1,1,1,3,1,2,5
India,2020,Phishing,IT,Insider,Zero-day,AI-based Detection,51.9,13,265519,South Asia,195.47,20425,1,1,2,1,1,3,2,4
UK,2020,Phishing,Healthcare,Unknown,Weak Passwords,Encryption,58.84,13,276895,Northern Europe,212.5,21300,1,1,2,1,1,1,1,2
China,2017,Phishing,Government,Insider,Social Engineering,AI-based Detection,61.75,13,194118,East Asia,318.11,14932,1,1,1,1,1,1,1,4
India,2019,Man-in-the-Middle,Education,Nation-state,Zero-day,AI-based Detection,36.39,13,104875,South Asia,346.98,8067,1,1,1,1,3,3,3,4
India,2023,SQL Injection,Retail,Nation-state,Weak Passwords,AI-based Detection,44.04,13,179185,South Asia,245.78,13783,1,1,1,1,3,1,2,4
France,2019,Man-in-the-Middle,Healthcare,Unknown,Unpatched Software,VPN,20.92,13,101675,Western Europe,205.75,7821,1,1,1,1,3,2,3,2
France,2018,DDoS,Government,Insider,Weak Passwords,VPN,96.27,13,101494,Western Europe,948.53,7807,1,1,1,1,2,1,2,2
France,2018,SQL Injection,Banking,Unknown,Weak Passwords,VPN,26.89,13,78282,Western Europe,343.5,6022,1,1,1,1,3,1,2,2
UK,2018,SQL Injection,Retail,Insider,Zero-day,Encryption,18.91,13,71105,Northern Europe,265.94,5470,1,1,1,1,3,3,3,2
Germany,2020,SQL Injection,Healthcare,Unknown,Unpatched Software,Encryption,40.26,13,134263,Western Europe,299.86,10328,1,1,1,1,3,2,3,2
Australia,2018,SQL Injection,Banking,Unknown,Social Engineering,Firewall,31.14,13,75916,Oceania,410.19,5840,1,1,1,1,3,1,2,1
Brazil,2020,Phishing,Retail,Insider,Weak Passwords,VPN,52.04,13,163562,South America,318.17,12582,1,1,1,1,1,1,1,3
China,2015,SQL Injection,Healthcare,Nation-state,Social Engineering,Encryption,113.84,13,180014,East Asia,632.4,13847,1,1,1,1,3,1,2,4
France,2024,Phishing,Healthcare,Unknown,Zero-day,VPN,71.77,13,315734,Western Europe,227.31,24287,1,1,2,1,1,3,2,2
Brazil,2018,SQL Injection,Retail,Insider,Unpatched Software,Firewall,21.7,13,45184,South America,480.26,3476,1,1,1,1,3,2,3,3
UK,2022,SQL Injection,IT,Insider,Unpatched Software,Firewall,41.84,13,193813,Northern Europe,215.88,14909,1,1,1,1,3,2,3,2
USA,2019,SQL Injection,Telecommunications,Insider,Social Engineering,AI-based Detection,36.3,14,153010,Northern America,237.24,10929,1,1,1,1,3,1,2,3
Australia,2019,SQL Injection,Retail,Unknown,Zero-day,Antivirus,10.06,14,50566,Oceania,198.95,3612,1,1,1,1,3,3,3,1
Russia,2021,Man-in-the-Middle,IT,Unknown,Unpatched Software,Encryption,28.74,14,213846,Eastern Europe,134.4,15275,1,1,1,1,3,2,3,5
Brazil,2019,Man-in-the-Middle,Government,Unknown,Weak Passwords,Encryption,11.21,14,48828,South America,229.58,3488,1,1,1,1,3,1,2,3
Russia,2015,SQL Injection,IT,Hacker Group,Social Engineering,Firewall,49.08,14,74361,Eastern Europe,660.02,5312,1,1,1,1,3,1,2,5
Russia,2022,SQL Injection,Government,Insider,Weak Passwords,Antivirus,33.21,14,125594,Eastern Europe,264.42,8971,1,1,1,1,3,1,2,5
UK,2016,SQL Injection,Retail,Unknown,Zero-day,Antivirus,13.53,14,34822,Northern Europe,388.55,2487,1,1,1,1,3,3,3,2
Germany,2023,Phishing,Government,Unknown,Social Engineering,Antivirus,44.42,14,244198,Western Europe,181.9,17443,1,1,2,1,1,1,1,2
China,2022,Man-in-the-Middle,Banking,Unknown,Social Engineering,Encryption,23.95,14,251832,East Asia,95.1,17988,1,1,2,1,3,1,2,4
Russia,2021,SQL Injection,Healthcare,Unknown,Social Engineering,VPN,45.23,14,148761,Eastern Europe,304.04,10626,1,1,1,1,3,1,2,5
France,2021,Phishing,IT,Insider,Zero-day,AI-based Detection,87.92,14,298350,Western Europe,294.69,21311,1,1,2,1,1,3,2,2
India,2020,SQL Injection,Government,Insider,Weak Passwords,Encryption,16.27,14,98633,South Asia,164.95,7045,1,1,1,1,3,1,2,4
China,2021,SQL Injection,Government,Hacker Group,Weak Passwords,Antivirus,32.67,14,180113,East Asia,181.39,12865,1,1,1,1,3,1,2,4
India,2017,Malware,Healthcare,Unknown,Zero-day,Antivirus,92.06,14,219738,South Asia,418.95,15696,1,1,1,1,2,3,3,4
